thumbnail,duration,title,date
https://pbs.twimg.com/ext_tw_video_thumb/1159374286706094080/pu/img/7RYyi7p34y1znIoL.jpg,0:05,Untitled,"Aug 8, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1158887283778555905/pu/img/aZSTNtcvHOKHoBcA.jpg,0:05,Untitled,"Aug 6, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1158816990150234113/pu/img/0jfLiFLvye40sqQr.jpg,0:07,Untitled,"Aug 6, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1158739162889170945/pu/img/YqHnwuIHNgD37DEr.jpg,0:05,Untitled,"Aug 6, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1158570721498542080/pu/img/X5G42ipYj9X5N-TF.jpg,0:05,Untitled,"Aug 5, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1158423133839339521/pu/img/dqPnxJe3ZQoeGBdF.jpg,0:05,Untitled,"Aug 5, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1158346521617866752/pu/img/UnMLMzFOnaqd2hb_.jpg,0:07,Untitled,"Aug 5, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1157067184700452864/pu/img/D2259Vs_KO1fIk6e.jpg,0:05,Untitled,"Aug 1, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1156750273399967745/pu/img/Ot5YRZifqEjVCc2R.jpg,0:04,Untitled,"Jul 31, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1156706577690349569/pu/img/F8A6eCvCDJ204wUs.jpg,0:05,Untitled,"Jul 31, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1154124106553540608/pu/img/8KRe1reB-sjNudz8.jpg,0:03,Untitled,"Jul 24, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1154122821955702784/pu/img/0YVHRItez5_OHOak.jpg,0:03,Untitled,"Jul 24, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1154119981610745856/pu/img/sKohrHjNNEeCbmFe.jpg,0:05,Untitled,"Jul 24, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1151806946309300230/pu/img/zq54m3BzVipTxMuE.jpg,0:03,Untitled,"Jul 18, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1151729757563830272/pu/img/imLMdzGOfr4Z6qEO.jpg,0:10,Untitled,"Jul 18, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1151728692168708098/pu/img/IQ_BibPVCMe4rh86.jpg,0:10,Untitled,"Jul 18, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1149440439168241665/pu/img/yDJNJXZDADlOwm4c.jpg,0:04,Untitled,"Jul 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1149386828358868992/pu/img/HTglUeN7XjO1f03r.jpg,0:05,Untitled,"Jul 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1149386560200171521/pu/img/icYgUioOLGxqJ4ut.jpg,0:05,Untitled,"Jul 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1148796734283440128/pu/img/XtpFOHIW_YUB3EVi.jpg,0:05,Untitled,"Jul 9, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1148730804350177280/pu/img/OcTY-09vDqRas8wa.jpg,1:14,Untitled,"Jul 9, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1148710261685194752/pu/img/nmEW9r0RLr_zxGSv.jpg,0:03,Untitled,"Jul 9, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1147846557829599232/pu/img/xfU6p4GaH2rdvrnJ.jpg,0:07,Untitled,"Jul 7, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1147387967541002240/pu/img/5Kq3sNuvLaf-2jpE.jpg,0:03,Untitled,"Jul 6, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1147324593465700352/pu/img/KcIRoInamfsu2bpz.jpg,0:05,Untitled,"Jul 5, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1147297649034485761/pu/img/kEcoJYSgQ729vqWm.jpg,0:08,Untitled,"Jul 5, 2019"
